longitude,latitude,housingMedianAge,totalRooms,totalBedrooms,population,households,medianIncome,medianHouseValue
-118.13,34.16,52.0,1787.0,427.0,1107.0,410.0,2.5664,215.0
-122.27,37.88,44.0,2252.0,592.0,989.0,550.0,3.0132,272.9
-122.44,37.77,52.0,2705.0,647.0,1355.0,628.0,2.0161,364.3
-122.28,37.87,49.0,2026.0,548.0,963.0,521.0,1.9805,173.7
-117.08,32.59,30.0,144.0,52.0,220.0,48.0,2.3929,134.4
-118.11,34.08,30.0,2350.0,472.0,945.0,467.0,3.3421,201.0
-116.98,33.77,12.0,5829.0,1309.0,2711.0,1118.0,1.9707,107.9
-118.22,33.97,47.0,1147.0,297.0,1097.0,307.0,2.6384,162.9
-121.99,37.55,28.0,2414.0,415.0,1106.0,453.0,4.8403,268.6
-122.24,38.15,10.0,6817.0,1188.0,4163.0,1135.0,4.4529,144.1
-118.31,34.1,34.0,399.0,141.0,482.0,134.0,1.625,67.5
-120.76,38.6,14.0,2925.0,625.0,1226.0,437.0,2.5865,133.8
-121.72,36.81,18.0,1984.0,379.0,1078.0,359.0,3.2969,229.9
-118.15,34.86,10.0,4597.0,1009.0,2227.0,821.0,2.6149,83.5
-118.99,35.33,36.0,1590.0,367.0,1311.0,390.0,1.6786,52.9
-121.72,38.54,16.0,2790.0,624.0,1386.0,636.0,3.1908,194.3
-122.08,37.88,24.0,2059.0,462.0,410.0,294.0,2.3971,99.4
-122.02,37.33,25.0,3823.0,584.0,1689.0,571.0,7.3693,373.6
-118.11,33.91,22.0,1981.0,472.0,1231.0,457.0,4.0878,153.7
-122.32,37.55,44.0,2151.0,411.0,849.0,370.0,4.4583,397.1
-118.82,36.13,43.0,1281.0,287.0,534.0,231.0,2.8906,65.7
-119.0,35.39,51.0,1373.0,284.0,648.0,300.0,2.8295,72.1
-118.35,34.27,32.0,604.0,108.0,314.0,113.0,6.2037,205.4
-118.17,34.07,19.0,2150.0,544.0,1510.0,467.0,3.4952,150.0
-118.52,34.2,37.0,1795.0,346.0,1082.0,354.0,4.9102,207.2
-118.18,33.97,26.0,6895.0,1877.0,8551.0,1808.0,2.3175,154.5
-117.18,32.84,32.0,1351.0,237.0,823.0,269.0,4.2768,167.8
-118.54,34.23,35.0,3422.0,601.0,1690.0,574.0,4.375,232.9
-122.48,37.86,52.0,3914.0,752.0,1177.0,670.0,6.2113,500.001
-122.18,37.45,43.0,2061.0,437.0,817.0,385.0,4.4688,460.2
-117.85,34.1,22.0,5179.0,944.0,2315.0,884.0,4.51,189.9
-122.15,37.44,52.0,1400.0,217.0,522.0,227.0,4.9861,500.001
-121.24,37.93,21.0,1185.0,237.0,960.0,245.0,2.0893,65.0
-118.28,33.97,31.0,2017.0,566.0,2063.0,521.0,1.9219,107.0
-118.4,33.85,29.0,2085.0,533.0,919.0,489.0,5.6017,430.0
-122.18,38.29,18.0,1953.0,265.0,658.0,270.0,8.0113,393.0
-118.43,33.96,16.0,14891.0,3984.0,6270.0,3595.0,5.1064,283.2
-117.94,33.84,28.0,604.0,207.0,615.0,212.0,3.6214,182.1
-117.82,33.82,22.0,3173.0,372.0,1181.0,355.0,8.3637,500.001
-117.98,34.14,27.0,6341.0,1289.0,2899.0,1192.0,3.6336,235.2
-118.51,34.18,37.0,1893.0,365.0,911.0,324.0,4.8036,295.3
-122.42,37.76,46.0,2150.0,817.0,2075.0,807.0,1.3824,212.5
-121.22,37.8,13.0,335.0,89.0,247.0,77.0,1.6111,74.1
-118.41,33.92,22.0,2340.0,584.0,1141.0,554.0,4.5729,337.5
-118.18,34.12,29.0,2640.0,737.0,1795.0,655.0,2.369,173.4
-121.7,37.98,9.0,3079.0,519.0,1562.0,512.0,5.1041,172.9
-122.0,38.25,7.0,11768.0,1893.0,6657.0,1874.0,4.9222,142.9
-118.17,34.02,33.0,346.0,103.0,488.0,107.0,1.8681,112.5
-118.78,34.05,28.0,1343.0,215.0,487.0,199.0,6.83,500.001
-118.34,33.91,17.0,3724.0,1023.0,2536.0,971.0,3.2649,202.1
-122.46,37.64,17.0,3523.0,669.0,2150.0,666.0,4.5938,251.2
-118.1,34.18,39.0,2321.0,336.0,880.0,339.0,7.7108,450.0
-122.15,37.74,52.0,1394.0,223.0,545.0,230.0,3.95,219.0
-117.66,34.06,24.0,4043.0,952.0,2174.0,859.0,2.2244,114.9
-121.3,38.74,41.0,4374.0,1039.0,2387.0,959.0,2.3611,87.9
-117.64,34.02,6.0,248.0,47.0,119.0,42.0,2.125,416.7
-117.9,33.74,25.0,808.0,163.0,1066.0,189.0,4.7679,173.1
-118.75,34.26,24.0,2234.0,373.0,1325.0,383.0,5.4604,193.4
-119.81,36.77,48.0,1805.0,329.0,741.0,331.0,2.5804,78.9
-118.17,33.79,36.0,948.0,303.0,1042.0,301.0,1.55,100.0
-118.1,34.08,37.0,2894.0,659.0,1977.0,636.0,2.543,208.1
-119.56,36.1,25.0,1093.0,262.0,893.0,252.0,2.13,50.8
-118.26,33.95,44.0,1481.0,329.0,999.0,315.0,1.5147,94.6
-122.51,37.76,43.0,2527.0,619.0,1332.0,558.0,3.0465,274.2
-122.78,39.05,15.0,1601.0,323.0,661.0,269.0,2.6181,108.9
-118.46,34.18,35.0,1819.0,465.0,1336.0,419.0,3.4583,253.2
-117.26,32.95,22.0,5484.0,1227.0,1947.0,1012.0,4.4375,500.001
-117.86,33.74,38.0,2415.0,642.0,3242.0,599.0,3.425,165.6
-118.34,33.94,37.0,3107.0,903.0,3456.0,734.0,2.182,147.5
-119.17,34.17,25.0,1596.0,321.0,1378.0,308.0,4.0074,188.0
-119.06,36.15,25.0,2402.0,478.0,1527.0,461.0,2.3194,52.9
-122.27,37.24,30.0,2762.0,593.0,1581.0,502.0,5.1002,319.4
-118.36,33.98,46.0,1425.0,283.0,782.0,273.0,5.057,246.3
-122.29,38.31,45.0,3075.0,754.0,1635.0,723.0,2.2721,139.8
-118.48,34.01,30.0,3078.0,954.0,1561.0,901.0,3.4852,425.0
-119.81,34.44,23.0,3172.0,588.0,1467.0,559.0,4.6806,288.9
-118.29,33.99,46.0,2198.0,530.0,2067.0,497.0,2.0542,103.4
-118.29,34.08,23.0,1864.0,937.0,2795.0,858.0,1.8495,212.5
-119.17,34.17,21.0,2361.0,464.0,1146.0,396.0,3.6597,195.1
-117.95,33.74,25.0,1393.0,243.0,976.0,245.0,5.4485,225.2
-118.26,34.15,14.0,2981.0,894.0,1941.0,863.0,3.0,178.6
-118.08,34.14,52.0,1282.0,189.0,431.0,187.0,6.1159,470.8
-118.45,37.37,26.0,3135.0,524.0,1385.0,523.0,4.337,139.7
-118.31,33.95,44.0,2490.0,430.0,1305.0,411.0,4.8295,149.6
-122.16,37.73,52.0,1114.0,206.0,425.0,207.0,2.5625,175.0
-119.12,35.41,12.0,5589.0,941.0,3018.0,917.0,4.4561,96.9
-119.09,36.22,34.0,1715.0,290.0,780.0,297.0,3.4306,74.3
-118.1,33.84,36.0,1557.0,270.0,697.0,251.0,4.5417,219.6
-120.95,37.59,43.0,1561.0,354.0,862.0,332.0,1.8466,81.5
-118.44,34.32,14.0,6235.0,1286.0,3568.0,1190.0,4.1724,211.6
-122.55,37.59,31.0,1331.0,245.0,598.0,225.0,4.1827,345.5
-121.29,37.8,6.0,110.0,26.0,69.0,24.0,3.7292,475.0
-118.32,34.07,52.0,2156.0,306.0,861.0,311.0,8.8062,500.001
-118.23,34.17,37.0,4524.0,1005.0,2099.0,937.0,3.5781,366.7
-118.24,34.16,52.0,1904.0,297.0,797.0,286.0,6.6603,380.4
-118.14,33.95,36.0,1942.0,355.0,891.0,348.0,3.6635,282.1
-122.08,37.92,26.0,1733.0,265.0,796.0,274.0,6.195,264.9
-121.91,37.3,43.0,828.0,151.0,446.0,145.0,4.4375,327.6
-116.89,33.86,2.0,6900.0,1238.0,1950.0,980.0,3.0417,146.3
-118.07,33.88,16.0,4934.0,825.0,2668.0,810.0,5.748,284.2
-117.85,34.06,24.0,3128.0,497.0,1406.0,472.0,7.5286,462.7
-121.52,38.51,23.0,6876.0,1456.0,2942.0,1386.0,3.0963,156.9
-117.24,32.75,41.0,1989.0,514.0,1015.0,489.0,2.79,226.0
-122.03,37.39,22.0,3280.0,933.0,1842.0,795.0,4.4107,232.7
-119.76,34.44,28.0,1985.0,582.0,1092.0,548.0,2.4701,290.9
-117.19,32.75,52.0,1495.0,230.0,459.0,190.0,8.1548,500.001
-117.69,34.07,35.0,3222.0,559.0,1970.0,550.0,3.7083,131.0
-117.74,34.05,27.0,852.0,237.0,1024.0,221.0,2.1141,110.9
-116.99,32.73,30.0,1856.0,339.0,1103.0,379.0,4.0357,153.8
-117.74,33.97,4.0,9755.0,1748.0,4662.0,1583.0,5.6501,254.9
-121.96,37.52,26.0,4211.0,741.0,2352.0,734.0,5.2396,223.9
-118.34,34.12,41.0,3257.0,679.0,1237.0,638.0,4.2415,409.6
-118.1,33.84,36.0,690.0,109.0,316.0,104.0,3.7813,209.1
-118.01,33.92,35.0,1606.0,289.0,829.0,273.0,5.273,187.6
-118.31,34.05,35.0,2007.0,571.0,1513.0,554.0,2.1162,229.2
-118.32,34.26,24.0,5106.0,1010.0,2310.0,957.0,4.4375,191.5
-119.38,36.55,31.0,2342.0,439.0,1411.0,465.0,3.017,72.0
-119.62,36.58,13.0,1788.0,405.0,1652.0,411.0,2.6858,62.4
-118.26,33.83,28.0,4112.0,861.0,3211.0,841.0,4.4539,192.2
-118.18,34.04,42.0,1670.0,434.0,1997.0,452.0,2.788,150.5
-118.03,34.58,4.0,9849.0,1780.0,4546.0,1598.0,4.0729,154.3
-117.61,34.34,18.0,5210.0,912.0,1301.0,464.0,4.8623,176.9
-122.0,37.98,31.0,2030.0,337.0,867.0,341.0,5.0915,193.2
-121.43,38.57,38.0,2507.0,446.0,888.0,448.0,4.0972,163.7
-120.28,38.07,13.0,1996.0,410.0,618.0,218.0,2.9083,104.6
-122.48,37.59,29.0,5889.0,959.0,2784.0,923.0,5.3991,273.0
-118.82,34.14,22.0,11668.0,1730.0,4054.0,1671.0,6.9935,385.5
-122.17,37.76,47.0,2118.0,413.0,965.0,382.0,2.1842,107.9
-118.19,33.87,35.0,1769.0,436.0,1166.0,386.0,2.875,178.3
-120.9,39.93,23.0,2679.0,546.0,1424.0,529.0,2.8812,81.9
-117.19,32.84,35.0,2263.0,427.0,1001.0,408.0,3.875,172.0
-117.17,33.28,16.0,1921.0,312.0,862.0,280.0,5.1786,376.8
-122.19,37.74,43.0,707.0,147.0,417.0,155.0,2.5139,83.4
-118.44,34.0,41.0,1562.0,377.0,874.0,368.0,4.1083,324.3
-122.6,38.24,16.0,2621.0,416.0,1247.0,386.0,4.8603,198.4
-117.25,34.06,23.0,4503.0,1156.0,3264.0,937.0,1.9821,93.0
-120.67,35.3,32.0,4202.0,986.0,2309.0,956.0,2.2165,231.7
-118.31,33.93,42.0,1173.0,201.0,602.0,186.0,5.5787,142.0
-120.83,35.32,11.0,3252.0,701.0,1814.0,660.0,3.2226,183.2
-120.04,36.93,11.0,3606.0,699.0,2074.0,644.0,2.6941,63.3
-118.24,34.11,39.0,1148.0,348.0,1161.0,333.0,2.2167,176.7
-118.54,34.05,33.0,6778.0,1092.0,2540.0,1052.0,8.565,500.001
-117.22,32.74,41.0,2621.0,542.0,1074.0,471.0,2.4016,287.5
-118.01,33.67,13.0,2902.0,536.0,1125.0,490.0,5.888,447.7
-122.09,37.4,22.0,1489.0,436.0,662.0,470.0,3.5179,197.2
-120.94,40.14,31.0,3127.0,664.0,1345.0,580.0,1.5774,58.0
-118.0,33.76,29.0,1982.0,503.0,1426.0,502.0,3.0263,194.2
-119.79,36.78,41.0,2227.0,462.0,1129.0,415.0,2.319,59.1
-121.37,38.6,36.0,1119.0,144.0,414.0,150.0,5.8336,283.3
-122.48,37.7,33.0,4167.0,1398.0,2923.0,1314.0,3.049,307.0
-116.94,34.24,27.0,12342.0,2630.0,1300.0,566.0,1.998,153.5
-117.97,33.92,32.0,2620.0,398.0,1296.0,429.0,5.7796,241.3
-118.4,34.01,44.0,1494.0,262.0,618.0,266.0,5.4035,356.3
-121.44,36.84,7.0,1644.0,338.0,1143.0,331.0,4.005,180.4
-123.85,39.42,11.0,1804.0,506.0,895.0,451.0,1.7574,150.0
-118.47,33.99,24.0,1438.0,454.0,665.0,416.0,2.975,500.001
-122.34,37.98,33.0,2014.0,410.0,1354.0,427.0,3.9773,131.3
-118.11,33.98,36.0,446.0,108.0,410.0,117.0,3.3942,147.2
-117.66,33.57,16.0,2483.0,443.0,1357.0,400.0,5.5545,214.2
-122.44,37.74,52.0,2074.0,366.0,909.0,394.0,4.8382,294.9
-118.43,34.03,26.0,1706.0,516.0,894.0,435.0,3.1875,372.7
-118.89,34.29,28.0,1545.0,371.0,1334.0,318.0,3.4375,194.1
-118.39,34.1,30.0,6310.0,957.0,1776.0,880.0,8.944,500.001
-118.46,34.31,24.0,2920.0,601.0,1460.0,598.0,4.2708,218.2
-117.92,33.65,20.0,1391.0,393.0,856.0,360.0,3.184,220.0
-121.32,38.21,27.0,2643.0,467.0,1455.0,444.0,3.6398,146.7
-117.06,32.77,32.0,3888.0,827.0,3868.0,841.0,3.0755,166.8
-118.35,34.06,52.0,1368.0,322.0,617.0,303.0,5.3819,440.9
-122.08,37.39,44.0,1498.0,430.0,848.0,400.0,2.8438,307.1
-118.29,33.99,39.0,979.0,235.0,857.0,236.0,2.5547,108.9
-118.14,33.91,34.0,1766.0,410.0,974.0,404.0,3.0703,180.8
-117.75,33.83,14.0,2452.0,296.0,954.0,275.0,8.2375,388.3
-118.27,33.93,41.0,570.0,135.0,466.0,121.0,2.6458,91.3
-117.39,33.95,35.0,1599.0,284.0,721.0,287.0,4.125,120.7
-119.8,36.71,29.0,1541.0,291.0,1007.0,313.0,2.0043,53.5
-122.77,38.29,32.0,3201.0,542.0,1869.0,519.0,3.2442,268.0
-119.71,36.73,19.0,3972.0,585.0,1586.0,560.0,5.2608,151.4
-117.85,34.08,23.0,1160.0,166.0,467.0,178.0,8.105,386.2
-122.32,37.96,25.0,1728.0,403.0,934.0,412.0,3.375,133.7
-117.17,32.68,16.0,5895.0,1424.0,873.0,522.0,7.3669,187.5
-117.87,33.69,4.0,2337.0,768.0,983.0,655.0,3.7174,275.0
-118.2,33.92,42.0,1411.0,314.0,1432.0,322.0,3.0871,138.8
-122.1,37.96,25.0,1374.0,206.0,569.0,235.0,6.3699,235.5
-119.33,35.6,32.0,2703.0,683.0,2682.0,675.0,1.4619,60.5
-122.07,38.0,37.0,978.0,202.0,462.0,184.0,3.625,156.3
-117.33,34.14,29.0,1646.0,391.0,1296.0,351.0,1.9423,69.7
-121.84,37.4,25.0,1866.0,271.0,840.0,275.0,6.8677,288.5
-121.15,38.91,23.0,1654.0,299.0,787.0,299.0,4.2723,193.1
-121.84,37.24,24.0,7991.0,1286.0,4017.0,1213.0,5.4741,238.8
-117.87,33.83,27.0,2287.0,353.0,1140.0,351.0,5.6163,231.0
-118.16,34.11,48.0,1091.0,236.0,632.0,234.0,3.7235,263.6
-122.12,37.94,22.0,4949.0,626.0,1850.0,590.0,10.4549,500.001
-117.9,33.75,32.0,1893.0,431.0,2245.0,426.0,3.7143,163.0
-118.48,34.28,35.0,2132.0,368.0,1128.0,341.0,5.3107,227.1
-117.08,32.76,27.0,1221.0,254.0,606.0,259.0,3.0833,155.4
-116.87,32.75,15.0,2053.0,321.0,993.0,309.0,5.5164,248.9
-118.18,33.78,17.0,1419.0,436.0,1300.0,360.0,2.0769,100.0
-118.12,34.19,52.0,2405.0,299.0,970.0,319.0,8.7835,444.1
-117.88,33.96,16.0,19059.0,3079.0,10988.0,3061.0,5.5469,265.2
-119.01,35.37,44.0,593.0,136.0,364.0,121.0,1.4779,66.0
-118.32,33.9,37.0,1664.0,401.0,1316.0,409.0,3.0526,216.4
-121.82,37.36,33.0,1624.0,337.0,1412.0,323.0,4.0385,167.6
-120.48,37.3,39.0,1015.0,356.0,875.0,313.0,1.5,67.0
-118.96,35.4,27.0,2473.0,400.0,1271.0,427.0,3.5524,89.1
-122.17,37.71,38.0,890.0,200.0,481.0,198.0,3.244,179.8
-121.47,38.68,19.0,946.0,182.0,474.0,173.0,5.0155,97.3
-118.17,33.84,45.0,1853.0,328.0,945.0,320.0,5.0787,219.2
-116.96,32.79,19.0,3008.0,693.0,2341.0,689.0,2.6087,123.8
-117.12,32.7,37.0,1361.0,348.0,1398.0,328.0,1.1681,78.1
-118.23,33.95,43.0,1683.0,520.0,2190.0,494.0,2.2391,152.8
-119.7,36.8,31.0,1746.0,321.0,1186.0,360.0,2.6932,66.4
-117.67,34.12,15.0,3162.0,495.0,1145.0,473.0,5.3525,191.7
-116.95,32.82,12.0,5535.0,1434.0,3112.0,1262.0,2.5949,108.3
-122.18,37.76,49.0,2308.0,452.0,1299.0,451.0,1.8407,96.7
-122.22,37.81,52.0,2927.0,402.0,1021.0,380.0,8.1564,390.1
-118.18,34.05,38.0,3272.0,731.0,3299.0,726.0,2.8295,126.5
-118.47,34.02,38.0,2163.0,651.0,1759.0,584.0,2.3382,297.5
-116.23,33.72,32.0,4981.0,1326.0,3779.0,1186.0,1.7805,76.9
-123.73,40.48,25.0,2015.0,524.0,746.0,251.0,1.7153,77.1
-122.25,37.8,42.0,4120.0,1065.0,1715.0,1015.0,2.9345,225.0
-121.42,38.54,29.0,1407.0,265.0,556.0,235.0,3.0521,108.0
-118.25,33.91,36.0,1950.0,365.0,1125.0,374.0,3.1111,119.3
-117.9,33.8,22.0,2964.0,829.0,2639.0,771.0,2.4833,157.5
-122.47,37.73,52.0,2151.0,280.0,762.0,274.0,10.7309,500.001
-117.23,33.22,18.0,2334.0,573.0,962.0,557.0,1.808,97.0
